First Term Gpa,Second Term Gpa,First Language,Funding,Fast Track,Coop,Residency,Gender,Prev Education,Age Group,Math Score,English Grade,FirstYearPersistence
0.0,0.0,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,16.0,Level-160,1
2.5,2.0,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-160,1
4.25,3.923077,English,Apprentice_PS,N,Y,Domestic,Female,PostSecondary,21 to 25,41.0,Level-170,1
3.020833,2.321429,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
4.275,4.326923,English,GPOG_FT,Y,Y,Domestic,Female,PostSecondary,21 to 25,32.55794871794872,Level-170,1
4.357143,4.326087,English,GPOG_FT,N,Y,Domestic,Male,PostSecondary,21 to 25,45.0,Level-170,1
2.210526,1.375,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,20.0,Level-160,0
2.045455,2.961538,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,34.0,Level-170,1
4.285714,3.608696,English,GPOG_FT,N,Y,Domestic,Female,HighSchool,19 to 20,39.0,Level-170,1
2.863636,1.3,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,29.0,Level-160,1
2.75,2.75,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,41.0,Level-161,1
2.125,2.136364,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,18.0,Level-160,1
1.46,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,17.0,Level-170,1
4.421053,4.315789,English,GPOG_FT,N,N,Domestic,Male,HighSchool,26 to 30,38.0,Level-160,1
3.791667,3.979167,English,Intl Regular,N,N,International,Male,HighSchool,26 to 30,47.0,Level-161,1
3.717391,3.895833,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-171,1
4.233333,4.277778,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,51 to 60,32.55794871794872,Level-170,1
3.413043,3.346154,Other,Second Career Program,Y,N,Domestic,Male,PostSecondary,51 to 60,32.55794871794872,Level-160,1
3.375,3.696429,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-141,1
3.785714,3.431818,Other,Intl Regular,N,N,International,Male,HighSchool,21 to 25,48.0,Level-171,1
3.58,3.346154,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
3.086957,2.65625,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,28.0,Level-170,0
4.5,4.421053,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,21 to 25,32.0,Level-170,1
3.6,3.190476,Other,Intl Regular,Y,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-170,1
3.425,3.175,Other,Intl Regular,N,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
3.770833,3.5,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,48.0,Level-170,1
2.071429,3.166667,Other,GPOG_FT,N,Y,Domestic,Male,PostSecondary,36 to 40,41.0,Level-161,1
2.55,3.022727,Other,GPOG_FT,Y,N,Domestic,Male,PostSecondary,51 to 60,32.55794871794872,Level-161,1
3.782609,3.269231,Other,Intl Regular,Y,N,International,Female,PostSecondary,19 to 20,32.55794871794872,Level-161,1
3.979167,4.037037,Other,Intl Regular,Y,Y,International,Female,PostSecondary,21 to 25,32.55794871794872,Level-160,1
2.645833,3.020833,Other,Intl Regular,N,N,International,Male,PostSecondary,0 to 18,39.0,Level-161,1
4.5,4.5,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,21 to 25,43.0,Level-170,1
3.065217,3.210526,Other,GPOG_FT,N,Y,Domestic,Female,,26 to 30,26.0,Level-170,1
2.125,1.409091,Other,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,31.0,Level-170,0
1.6,2.566667,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,21.0,Level-160,1
4.225,4.428571,Other,Intl Regular,N,N,International,Female,HighSchool,0 to 18,46.0,Level-170,1
3.595238,3.0,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,48.0,Level-161,1
3.82,3.611111,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,20.0,Level-170,1
3.928571,4.190476,English,GPOG_FT,N,N,Domestic,Female,PostSecondary,26 to 30,40.0,Level-170,1
2.565217,2.153846,English,Apprentice_PS,N,Y,Domestic,Male,HighSchool,0 to 18,25.0,Level-170,1
2.52381,1.823529,Other,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,16.0,Level-141,1
4.309524,4.095238,English,GPOG_FT,N,N,Domestic,Female,HighSchool,19 to 20,48.0,Level-170,1
3.865385,3.844828,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,47.0,Level-141,1
2.05,2.555556,English,GPOG_FT,N,N,Domestic,Female,HighSchool,0 to 18,23.0,Level-171,1
3.47619,2.975,English,GPOG_FT,N,Y,Domestic,Female,PostSecondary,21 to 25,32.0,Level-170,1
3.304348,3.326923,Other,Intl Regular,Y,Y,International,Female,HighSchool,21 to 25,32.55794871794872,Level-161,1
1.105263,0.0,English,GPOG_FT,N,N,Domestic,Male,PostSecondary,19 to 20,22.0,Level-160,0
2.23913,2.361111,Other,Intl Regular,N,N,International,Male,PostSecondary,0 to 18,32.0,Level-161,1
3.54,2.521739,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,34.0,Level-160,1
3.526316,2.477273,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,19.0,Level-160,1
1.78,2.820175578700078,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,28.0,Level-170,0
4.38,4.425,English,GPOG_FT,N,N,Domestic,Male,HighSchool,26 to 30,26.0,Level-170,1
3.027778,2.235294,Other,Intl Regular,N,N,International,Male,HighSchool,19 to 20,29.0,Level-170,1
2.309524,3.043478,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-161,1
2.875,3.068182,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-161,1
3.826087,3.704545,English,GPOG_FT,N,N,Domestic,Female,HighSchool,36 to 40,26.0,Level-170,1
3.32,1.333333,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,32.0,Level-170,1
2.875,2.795455,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,43.0,Level-170,1
3.456522,3.52381,Other,GPOG_FT,N,Y,Domestic,Female,HighSchool,19 to 20,40.0,Level-161,1
2.695652,2.630435,English,Apprentice_PS,N,Y,Domestic,Male,HighSchool,0 to 18,29.0,Level-170,1
3.06,3.304348,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,45.0,Level-161,1
3.277778,3.44,Other,Intl Regular,Y,N,International,Male,HighSchool,21 to 25,32.55794871794872,Level-170,1
0.2,0.0,Other,GPOG_FT,N,Y,Domestic,Male,,21 to 25,23.0,Level-170,0
2.94,1.727273,English,GPOG_FT,N,N,Domestic,Female,HighSchool,19 to 20,19.0,Level-170,0
0.0,2.820175578700078,English,GPOG_FT,N,N,Domestic,Male,,26 to 30,26.0,Level-170,0
1.857143,2.820175578700078,English,Intl Regular,N,N,International,Male,HighSchool,0 to 18,47.0,Level-160,0
3.804348,3.714286,Other,Intl Regular,N,N,International,Female,PostSecondary,19 to 20,40.0,Level-141,1
4.065217,3.72,English,GPOG_FT,Y,Y,Domestic,Male,PostSecondary,21 to 25,32.55794871794872,Level-170,1
1.526316,0.157895,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,21.0,Level-160,0
1.710526,0.346154,French,GPOG_FT,N,Y,Domestic,Male,HighSchool,19 to 20,10.0,Level-160,0
2.956522,3.52381,Other,Intl Regular,N,N,International,Female,PostSecondary,0 to 18,35.0,Level-161,1
2.157895,3.552632,Other,Intl Regular,N,Y,International,Male,HighSchool,19 to 20,49.0,Level-161,1
4.02381,4.184211,Other,GPOG_FT,N,N,Domestic,Male,PostSecondary,31 to 35,44.0,Level-171,0
1.975,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,32.55794871794872,Level-170,1
0.4375,0.0,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,20.0,Level-160,0
3.925,3.02381,English,GPOG_FT,N,N,Domestic,Male,,26 to 30,39.0,Level-160,1
2.571429,2.388889,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,38.0,Level-170,1
3.4,3.326087,English,GPOG_FT,N,N,Domestic,Male,HighSchool,21 to 25,35.0,Level-140,1
3.521739,3.288462,Other,Intl Regular,Y,N,International,Female,HighSchool,21 to 25,32.55794871794872,Level-160,1
0.543478,0.0,Other,Intl Regular,N,N,International,Male,HighSchool,21 to 25,27.0,Level-170,1
2.369565,2.6875,English,GPOG_FT,N,Y,Domestic,Female,HighSchool,0 to 18,22.0,Level-171,1
3.347826,2.704545,Other,Intl Regular,N,N,International,Female,HighSchool,0 to 18,31.0,Level-141,1
3.456522,2.98,Other,Intl Regular,Y,N,International,Male,PostSecondary,21 to 25,32.55794871794872,Level-170,1
2.846073103521127,2.820175578700078,Other,Intl Regular,N,N,International,Female,HighSchool,0 to 18,19.0,Level-160,0
3.880952,3.434783,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,42.0,Level-170,1
1.541667,1.934783,English,GPOG_FT,N,N,Domestic,Male,HighSchool,0 to 18,24.0,Level-170,1
3.56,3.318182,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,29.0,Level-170,1
0.157895,0.0,English,GPOG_FT,N,Y,Domestic,Male,HighSchool,0 to 18,19.0,Level-160,0
3.854167,3.66,English,Intl Regular,N,N,International,Male,HighSchool,19 to 20,49.0,Level-161,1
2.58,2.282609,English,GPOG_FT,N,N,Domestic,Male,HighSchool,19 to 20,19.0,Level-160,1
